,Dataset,NLL/D,Type,CRPS,MAE
2,GasRateCO2,-0.3389330699418127,LLaMA 7B,0.046147436,0.061553419309758106
3,MonthlyMilk,4.343635318417406,LLaMA 7B,0.17890324,0.2031679357216317
4,Sunspots,4.726326953824563,LLaMA 7B,0.47583008,0.6402540793714746
5,Wine,9.672016186743232,LLaMA 7B,0.12611216,0.16129075288159977
6,Wooly,7.950130399627075,LLaMA 7B,0.12225437,0.18599716087925544
7,HeartRate,2.185676930244683,LLaMA 7B,0.17961359,0.3071319640323943
0,AirPassengers,5.110601669081155,LLaMA-2 7B,0.08958418,0.11562164460803509
1,AusBeer,4.444376952708026,LLaMA-2 7B,0.065861516,0.10303235453315296
2,GasRateCO2,-0.473832463659261,LLaMA-2 7B,0.032977976,0.041716605905942394
3,MonthlyMilk,4.326110599179125,LLaMA-2 7B,0.052788593,0.07969691892355157
4,Sunspots,4.683875920469066,LLaMA-2 7B,0.501086,0.6125756469245233
5,Wine,9.534087753854777,LLaMA-2 7B,0.12533534,0.15239438610041883
6,Wooly,7.907113330128378,LLaMA-2 7B,0.13592508,0.17988294528472018
7,HeartRate,2.1050813627533635,LLaMA-2 7B,0.0695554,0.07486713186803023
0,AirPassengers,5.3405716145283515,LLaMA-2 7B (chat),0.0961566,0.11586535672331426
1,AusBeer,4.647382721240002,LLaMA-2 7B (chat),0.05986893,0.0725309905277402
2,GasRateCO2,-0.1799039358272303,LLaMA-2 7B (chat),0.03426456,0.053282807753068394
3,MonthlyMilk,4.7463511135977825,LLaMA-2 7B (chat),0.100153126,0.10223792697977369
4,Sunspots,4.89190970537598,LLaMA-2 7B (chat),0.4537563,0.6736637866863641
5,Wine,9.690506448244967,LLaMA-2 7B (chat),0.145414,0.1907370942100638
6,Wooly,8.049314435881957,LLaMA-2 7B (chat),0.1668144,0.21296433128604728
7,HeartRate,2.146309254463432,LLaMA-2 7B (chat),0.120713055,0.17766576185316435
0,AirPassengers,4.995787173862943,LLaMA 13B,0.08388153,0.09182059832406604
1,AusBeer,4.091325478779972,LLaMA 13B,0.032189045,0.04380771583220563
2,GasRateCO2,-0.4795499319209804,LLaMA 13B,0.03399373,0.04714415785636164
3,MonthlyMilk,4.008629053338132,LLaMA 13B,0.0659184,0.08565078299622898
4,Sunspots,4.6691244590883025,LLaMA 13B,0.4730726,0.6108583649386696
5,Wine,9.56658092130812,LLaMA 13B,0.11710976,0.14484079727266555
6,Wooly,7.669655418954874,LLaMA 13B,0.13572013,0.17548369260084723
7,HeartRate,2.140228796564127,LLaMA 13B,0.060131095,0.0635739800394464
0,AirPassengers,5.153289973061487,LLaMA-2 13B,0.14245099,0.15572988722687758
1,AusBeer,4.0743651573092245,LLaMA-2 13B,0.041760415,0.04180497970230041
2,GasRateCO2,-0.3359512482458502,LLaMA-2 13B,0.041495018,0.059065156762668554
3,MonthlyMilk,4.480990898466808,LLaMA-2 13B,0.07475251,0.07974244343503607
4,Sunspots,4.622864572258737,LLaMA-2 13B,0.5299907,0.5804676744560838
5,Wine,9.564420107234767,LLaMA-2 13B,0.115771376,0.15692906648262334
6,Wooly,7.921911176604613,LLaMA-2 13B,0.13100706,0.1756079652755329
7,HeartRate,2.104172956177842,LLaMA-2 13B,0.054632552,0.06186647718241475
0,AirPassengers,5.367811183830615,LLaMA-2 13B (chat),0.12791155,0.1543966528310753
1,AusBeer,4.456329197666237,LLaMA-2 13B (chat),0.06647114,0.07438016508795671
2,GasRateCO2,-0.0670921479040536,LLaMA-2 13B (chat),0.04079699,0.0543754389962328
3,MonthlyMilk,4.6419338736793545,LLaMA-2 13B (chat),0.06312485,0.10368012907096325
4,Sunspots,4.708155792200005,LLaMA-2 13B (chat),0.4475923,0.6511604543826662
5,Wine,9.695886866810506,LLaMA-2 13B (chat),0.09925493,0.1771517626085904
6,Wooly,7.913399951222127,LLaMA-2 13B (chat),0.16031773,0.19822354620004418
7,HeartRate,2.198830006416557,LLaMA-2 13B (chat),0.05728548,0.11240501113794482
0,AirPassengers,4.818390596882878,LLaMA 30B,0.09043273,0.09279236745242381
1,AusBeer,3.964109760665874,LLaMA 30B,0.03729169,0.03494242760487156
2,GasRateCO2,-0.5646853282425952,LLaMA 30B,0.03633297,0.04346641299064279
3,MonthlyMilk,3.7319414312678196,LLaMA 30B,0.016423473,0.024158746314706946
4,Sunspots,4.629326074225714,LLaMA 30B,0.50505346,0.6065448068314084
5,Wine,9.497645103165757,LLaMA 30B,0.07360908,0.11520004747318925
6,Wooly,7.882434146168416,LLaMA 30B,0.15576719,0.1907443770522483
7,HeartRate,2.113968759671767,LLaMA 30B,0.04332691,0.05852081524874492
0,AirPassengers,4.805425887831154,LLaMA 70B,0.121780954,0.15171582269559084
1,AusBeer,4.023011170436041,LLaMA 70B,0.02819638,0.03795186738836275
2,GasRateCO2,-0.5375155284379076,LLaMA 70B,0.032914963,0.05040192763397736
3,MonthlyMilk,3.5029002756209904,LLaMA 70B,0.00915196,0.011570183236201617
4,Sunspots,4.699574076081876,LLaMA 70B,0.4948114,0.5598475067150148
5,Wine,9.440489917890151,LLaMA 70B,0.089673564,0.13597144270963746
6,Wooly,7.458627002003377,LLaMA 70B,0.13247724,0.16762761369243068
7,HeartRate,2.0722325807438144,LLaMA 70B,0.04429372,0.06287301384458503
0,AirPassengers,4.6011738421010895,LLaMA-2 70B,0.031097278,0.04357534497611396
1,AusBeer,4.089225443578302,LLaMA-2 70B,0.027311834,0.029952893098782126
2,GasRateCO2,-0.6731554820511878,LLaMA-2 70B,0.036368415,0.045709779438570894
3,MonthlyMilk,3.6128367093009075,LLaMA-2 70B,0.02320746,0.030988715289681217
4,Sunspots,4.497964998898809,LLaMA-2 70B,0.4838471,0.6005975346494763
5,Wine,9.46349762866489,LLaMA-2 70B,0.123377986,0.152081413766323
6,Wooly,7.836559868417765,LLaMA-2 70B,0.11102966,0.17344562073600214
7,HeartRate,2.092934010322807,LLaMA-2 70B,0.04365787,0.06550687178960803
0,AirPassengers,4.927035279668438,LLaMA-2 70B (chat),0.10423038,0.11012722609444744
1,AusBeer,4.138710051363549,LLaMA-2 70B (chat),0.033622734,0.04771869824086607
2,GasRateCO2,-0.41131211860717753,LLaMA-2 70B (chat),0.04205557,0.05353202242070723
3,MonthlyMilk,4.288150322294934,LLaMA-2 70B (chat),0.06083466,0.07958278231059313
4,Sunspots,4.753432190554394,LLaMA-2 70B (chat),0.43436968,0.6066865605246665
5,Wine,9.567103110978259,LLaMA-2 70B (chat),0.12671411,0.1629822108427087
6,Wooly,7.882099724374796,LLaMA-2 70B (chat),0.14676498,0.1854503611106385
7,HeartRate,2.1924145333262794,LLaMA-2 70B (chat),0.08289648,0.10084753384009394
