method,v
SES,1.0000017005591653
SES,1.1407777625575588
SES,1.0113691451091265
SES,0.9406172837969468
SES,0.6952605346361115
SES,1.0010814231267702
SES,1.0342972816657028
SES,0.947560426242328
SES,0.961019727838344
SES,0.9902846272042588
SES,0.9041902293894836
SES,0.937244506826888
SES,1.2028212854564044
SES,0.9446817650985788
SES,1.0001550426857162
SES,1.5053978709197886
Theta,0.9084293529266094
Theta,1.1412451028945343
Theta,1.0197103339347686
Theta,0.3672205640724105
Theta,0.7001408138403037
Theta,1.0010814231267702
Theta,0.5091931752458068
Theta,0.4832086797835995
Theta,0.9114940348396416
Theta,1.2361092970831902
Theta,0.7703900208125471
Theta,0.9156986560952354
Theta,1.2064884235218205
Theta,0.9531164237155302
Theta,0.9996898542937692
Theta,1.8493397629496653
TBATS,0.2722291248391112
TBATS,1.484673487666354
TBATS,0.568458151694599
TBATS,0.5215839127413151
TBATS,0.5254106278304898
TBATS,1.3347752308356935
TBATS,0.3461538461538461
TBATS,0.6293693196814159
TBATS,0.9463584785674776
TBATS,0.7042465208588529
TBATS,0.7242663464273299
TBATS,0.8965467887782109
TBATS,3.2160800833697154
TBATS,0.9868550581833364
TBATS,1.0355093604736765
TBATS,2.213505915642056
ETS,0.2419783029907522
ETS,1.4454168993603995
ETS,1.967217252097572
ETS,0.3556094286308854
ETS,0.6539863249684281
ETS,1.0010814231267702
ETS,0.3641382301908618
ETS,0.5632984220683516
ETS,0.9533747432547206
ETS,0.7224545760045024
ETS,0.746704890722841
ETS,0.939638490241516
ETS,1.2028212854564044
ETS,0.9615510823324818
ETS,1.4276631748848667
ETS,1.6620377670885214
ARIMA,0.2424871953209115
ARIMA,4.240512691906472
ARIMA,1.603716216271282
ARIMA,0.4500348365775033
ARIMA,0.4856456040304537
ARIMA,1.3347752308356935
ARIMA,0.4566194331983805
ARIMA,0.6611173042494279
ARIMA,0.9555299665041876
ARIMA,1.0465154898299585
ARIMA,0.8144360522074393
ARIMA,0.9204866229244916
ARIMA,0.8691117215035605
ARIMA,1.0290283512680944
ARIMA,1.0410916211770385
ARIMA,1.2135252080967047
PR,0.9838019613824274
PR,0.2949585155369166
PR,0.3790027672651211
PR,0.3880336795804277
PR,0.6042410145493922
PR,0.6673876154178469
PR,0.4987825332562174
PR,0.5738417444059564
PR,0.8313518044272377
PR,3.1574572502658
PR,0.7994770226770985
PR,0.8941528053635828
PR,1.2028212854564044
PR,0.9531164237155302
PR,1.174135501273836
PR,1.4570948272157829
CatBoost,1.34333439263998
CatBoost,0.2898177718301845
CatBoost,0.3707075776425614
CatBoost,0.4500827358375371
CatBoost,0.8751485512740527
CatBoost,0.6673876154178469
CatBoost,0.3831983805668016
CatBoost,0.6480217733919336
CatBoost,0.800023897548177
CatBoost,0.8761383471910857
CatBoost,0.7965683224906435
CatBoost,0.9151001602415784
CatBoost,2.0866015592216285
CatBoost,0.9868550581833364
CatBoost,0.9899208980628856
CatBoost,1.5614751061310723
FFNN,0.4075096692731279
FFNN,0.3098466434148551
FFNN,0.3967584596549993
FFNN,0.3587494912331008
FFNN,0.6076294548499332
FFNN,0.3336938077089234
FFNN,0.4839820705610179
FFNN,0.5668023443488726
FFNN,0.800285319542514
FFNN,0.827969282353878
FFNN,0.9498983751766358
FFNN,0.8989407721928389
FFNN,1.2028212854564044
FFNN,0.9699857409494334
FFNN,1.0690029246938493
FFNN,3.870171785294736
DeepAR,0.5710337380309864
DeepAR,0.2989642898538507
DeepAR,0.4636873001401621
DeepAR,0.3320465407875949
DeepAR,0.4172465249944457
DeepAR,0.3336938077089234
DeepAR,0.3686495083863504
DeepAR,0.6002719967809447
DeepAR,0.7186218142169105
DeepAR,1.509148727714316
DeepAR,0.7583396914686615
DeepAR,0.8791904090221573
DeepAR,1.2028212854564044
DeepAR,0.995289716800288
DeepAR,1.0936579094670322
DeepAR,8.279947431500512
N-BEATS,0.4489843941811118
N-BEATS,0.4462432589064624
N-BEATS,0.3278669865049796
N-BEATS,0.3553450956773656
N-BEATS,0.6780581286734668
N-BEATS,0.6673876154178469
N-BEATS,0.3661075766338924
N-BEATS,0.5453143137640065
N-BEATS,0.7133985022231359
N-BEATS,0.9052004558122856
N-BEATS,0.8385367108952104
N-BEATS,0.8492656163393065
N-BEATS,1.2908325990263854
N-BEATS,0.9362471064816272
N-BEATS,1.2988059903155906
N-BEATS,1.7567619130249434
WaveNet,2.967068459197741
WaveNet,0.3101804579412663
WaveNet,0.3488272900429446
WaveNet,0.3716858395355608
WaveNet,1.1546659644620336
WaveNet,0.6673876154178469
WaveNet,0.437593984962406
WaveNet,0.5766527079933916
WaveNet,0.702877976248726
WaveNet,0.8877178916879886
WaveNet,0.8040478372558139
WaveNet,1.15749098097267
WaveNet,
WaveNet,1.0121590340341913
WaveNet,1.0313226649461549
WaveNet,15.51828059207645
Transform.,1.155355220238355
Transform.,0.3157217790796919
Transform.,0.3548838517821517
Transform.,0.380884271508717
Transform.,0.3332640899687479
Transform.,0.3336938077089234
Transform.,0.392888953152111
Transform.,0.6009220399994131
Transform.,0.7472297257918155
Transform.,1.6513025001322843
Transform.,1.5037979963973074
Transform.,1.2173405663383716
Transform.,1.2028212854564044
Transform.,1.1977215236071264
Transform.,1.3053186278028464
Transform.,10.498567202673623
GPT-3,0.8614006402605258
GPT-3,0.6250955291192059
GPT-3,0.678090233153524
GPT-3,0.8382274773976174
GPT-3,1.1848529754489772
GPT-3,0.4753044102853784
GPT-3,0.3985855407750144
GPT-3,0.8911961219661033
GPT-3,1.4084791744458436
