Dataset,SES,Theta,TBATS,ETS,(DHR-)ARIMA,PR,CatBoost,FFNN,DeepAR,N-BEATS,WaveNet,Transformer,Last Value,normalized_min,normalized_median
covid_deaths,1.0000017005591653,0.9084293529266094,0.27222912483911127,0.2419783029907522,0.2424871953209115,0.9838019613824274,1.3433343926399801,0.40750966927312793,0.5710337380309864,0.4489843941811118,2.967068459197741,1.155355220238355,353.7093984962405,0.2419783029907522,0.9084293529266094
pedestrian_counts,1.1407777625575588,1.1412451028945343,1.4846734876663539,1.4454168993603995,4.240512691906472,0.2949585155369166,0.2898177718301845,0.3098466434148551,0.29896428985385076,0.4462432589064624,0.31018045794126636,0.3157217790796919,149.78377525252526,0.2898177718301845,0.4462432589064624
australian_electricity_demand,1.0113691451091265,1.0197103339347686,0.568458151694599,1.9672172520975715,1.603716216271282,0.3790027672651211,0.3707075776425614,0.39675845965499934,0.46368730014016213,0.3278669865049796,0.3488272900429446,0.35488385178215176,652.185211690267,0.3278669865049796,0.46368730014016213
tourism_monthly,0.9406172837969468,0.3672205640724105,0.5215839127413151,0.3556094286308854,0.4500348365775033,0.3880336795804277,0.4500827358375371,0.3587494912331008,0.33204654078759493,0.3553450956773656,0.37168583953556084,0.38088427150871706,5636.83029361023,0.33204654078759493,0.38088427150871706
solar_weekly,0.6952605346361115,0.7001408138403037,0.5254106278304898,0.6539863249684281,0.4856456040304537,0.6042410145493922,0.8751485512740527,0.6076294548499332,0.41724652499444576,0.6780581286734668,1.1546659644620336,0.3332640899687479,1729.4092503457173,0.3332640899687479,0.6539863249684281
traffic_hourly,1.0010814231267702,1.0010814231267702,1.3347752308356937,1.0010814231267702,1.3347752308356937,0.6673876154178469,0.6673876154178469,0.33369380770892343,0.33369380770892343,0.6673876154178469,0.6673876154178469,0.33369380770892343,0.0299675923525763,0.33369380770892343,0.6673876154178469
us_births,1.0342972816657028,0.5091931752458068,0.34615384615384615,0.3641382301908618,0.45661943319838055,0.4987825332562174,0.3831983805668016,0.4839820705610179,0.36864950838635047,0.3661075766338924,0.437593984962406,0.39288895315211103,1152.6666666666667,0.34615384615384615,0.437593984962406
tourism_quarterly,0.9475604262423281,0.4832086797835995,0.6293693196814159,0.5632984220683516,0.6611173042494279,0.5738417444059564,0.6480217733919336,0.5668023443488726,0.6002719967809447,0.5453143137640065,0.5766527079933916,0.6009220399994131,15845.100306204946,0.4832086797835995,0.6002719967809447
tourism_yearly,0.961019727838344,0.9114940348396415,0.9463584785674776,0.9533747432547206,0.9555299665041875,0.8313518044272377,0.800023897548177,0.800285319542514,0.7186218142169105,0.7133985022231359,0.702877976248726,0.7472297257918155,99456.0540551959,0.702877976248726,0.8313518044272377
fred_md,0.9902846272042589,1.2361092970831902,0.7042465208588529,0.7224545760045024,1.0465154898299585,3.1574572502658,0.8761383471910857,0.827969282353878,1.509148727714316,0.9052004558122857,0.8877178916879886,1.6513025001322843,2825.672461360779,0.7042465208588529,0.9902846272042589
hospital,0.9041902293894837,0.7703900208125471,0.7242663464273299,0.746704890722841,0.8144360522074393,0.7994770226770985,0.7965683224906435,0.9498983751766358,0.7583396914686615,0.8385367108952104,0.8040478372558139,1.5037979963973074,24.06573229030856,0.7242663464273299,0.8040478372558139
nn5_weekly,0.937244506826888,0.9156986560952354,0.8965467887782109,0.939638490241516,0.9204866229244916,0.8941528053635828,0.9151001602415783,0.8989407721928389,0.8791904090221573,0.8492656163393065,1.1574909809726701,1.2173405663383716,16.708553516113007,0.8492656163393065,0.9156986560952354
weather,0.9482724997260088,1.0625732028179828,0.9736726559686696,0.9948394528375538,1.0371730465753222,3.4586546083756655,1.0625732028179828,0.8847721091193562,0.8551385935029185,0.9906060934637768,0.9694392965948928,0.8593719528766953,2.362190193902301,0.8551385935029185,0.9906060934637768
solar_10_minutes,1.2028212854564044,1.2064884235218203,3.2160800833697154,1.2028212854564044,0.8691117215035605,1.2028212854564044,2.0866015592216285,1.2028212854564044,1.2028212854564044,1.2908325990263854,,1.2028212854564044,2.72692214517589,0.8691117215035605,1.2028212854564044
traffic_weekly,0.9446817650985787,0.9531164237155302,0.9868550581833365,0.9615510823324818,1.0290283512680944,0.9531164237155302,0.9868550581833365,0.9699857409494334,0.9952897168002881,0.9362471064816271,1.0121590340341913,1.1977215236071264,1.1855844384623289,0.9362471064816271,0.9868550581833365
kaggle_web_traffic_weekly,1.1226492097639231,1.1403600048758329,1.0768855143391425,1.2817293295689465,1.4963292133835864,1.9462900486759183,5.147207635214411,0.9728351935040241,1.0916517156339651,0.9853581234895814,0.9729648901321829,1.489263148938341,2081.781183003247,0.9728351935040241,1.1403600048758329
saugeenday,1.0001550426857162,0.9996898542937693,1.0355093604736765,1.4276631748848667,1.0410916211770385,1.1741355012738361,0.9899208980628857,1.0690029246938493,1.0936579094670322,1.2988059903155906,1.0313226649461549,1.3053186278028464,21.496667098999023,0.9899208980628857,1.0690029246938493
cif_2016,1.5053978709197886,1.8493397629496653,2.2135059156420556,1.6620377670885214,1.2135252080967047,1.4570948272157827,1.5614751061310725,3.870171785294736,8.279947431500512,1.7567619130249434,15.51828059207645,10.498567202673625,386526.3670424068,1.2135252080967047,1.8493397629496653
